slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,batterySOC,batterySOCmin,minVoltageV,minVoltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
1,26.6146,26.6146,0,0.0,4.0,0.0,0.720641253211,0.307398407748,223.832962036,0.973186791461,18.521250000000002,0.0,0.0,0.0,1.23233915063,1.23233915063
2,21.1896,21.1896,0,0.0,5.0,0.0,0.720641253211,0.307398407748,226.594177246,0.985192074983,18.521250000000002,0.0,0.0,0.0,0.9811446975,0.9811446975
3,21.791,21.791,0,0.0,7.0,0.0,0.720641253211,0.307398407748,225.054519653,0.978497911536,18.54625,0.0,0.0,0.0,1.01035333437,1.01035333437
4,22.0482,22.0482,0,0.0,7.0,0.0,0.720641253211,0.307398407748,226.666732788,0.985507533861,18.54625,0.0,0.0,0.0,1.02227857312,1.02227857312
5,28.4559333333,28.4559333333,0,0.0,8.0,0.0,0.720641253211,0.307398407748,226.508087158,0.984817770253,19.69125,0.0,0.0,0.0,1.40083224312,1.40083224312
6,33.4371333333,33.4371333333,0,0.0,9.0,0.0,0.720641253211,0.307398407748,226.310134888,0.983957108207,19.69125,0.0,0.0,0.0,1.64604737937,1.64604737937
7,30.2244,30.2244,0,0.0,10.0,0.0,0.720641253211,0.307398407748,223.766662598,0.972898533033,17.931250000000002,0.0,0.0,0.0,1.35490318125,1.35490318125
8,24.3949333333,24.3949333333,0,0.0,11.0,0.0,0.720641253211,0.307398407748,227.079742432,0.987303227964,17.931250000000002,0.0,0.0,0.0,1.09357912083,1.09357912083
9,27.1538,27.1538,0,0.0,12.0,0.0,0.720641253211,0.307398407748,226.500640869,0.984785395083,19.11625,0.0,0.0,0.0,1.29769707313,1.29769707313
10,26.5668666667,26.5668666667,0,0.0,12.0,0.0,0.720641253211,0.307398407748,227.50769043,0.989163871433,19.11625,0.0,0.0,0.0,1.26964716229,1.26964716229
11,32.6899333333,32.6899333333,0,0.0,13.0,0.0,0.720641253211,0.307398407748,224.44694519,0.975856283437,19.181250000000002,0.0,0.0,0.0,1.56758445938,1.56758445938
12,27.3766666667,27.3766666667,0,0.0,15.0,0.0,0.720641253211,0.307398407748,224.952178955,0.978052951979,19.181250000000002,0.0,0.0,0.0,1.31279671875,1.31279671875
13,28.8318,28.8318,0,0.0,17.0,0.0,0.720641253211,0.307398407748,227.076766968,0.987290291164,21.021250000000002,0.0,0.0,0.0,1.51520118937,1.51520118937
