slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,energyCharged,batterySOC,voltageV,voltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
1,0.325233333333,0.3252333333333334,0,0.0,0.0,0,0.0,22.1114105526,226.619873046875,0.9853037958559783,12.839416666666665,0.0,0.0,0.0,0.0104395157014,0.0104395157014
2,0.292966666667,0.2929666666666666,0,0.0,0.0,0,0.0,22.1114105526,226.94956970214844,0.9867372595745584,12.839416666666665,0.0,0.0,0.0,0.00940380275694,0.00940380275694
3,0.18436,0.18436000000000002,0,0.0,0.0,0,0.0,22.1114105526,227.9955291748047,0.9912849094556726,12.024416666666667,0.0,0.0,0.0,0.00554205364167,0.00554205364167
4,0.119166666667,0.11916666666666673,0,0.0,0.0,0,0.0,22.1114105526,227.956298828125,0.9911143427309783,12.024416666666667,0.0,0.0,0.0,0.00358227413194,0.00358227413194
5,0.0748,0.07480000000000005,0,0.0,0.0,0,0.0,22.1114105526,226.75416564941406,0.9858876767365828,11.484416666666664,0.0,0.0,0.0,0.00214758591667,0.00214758591667
6,0.0748,0.07480000000000005,0,0.0,0.0,0,0.0,22.1114105526,227.81362915039062,0.9904940397843071,11.484416666666664,0.0,0.0,0.0,0.00214758591667,0.00214758591667
7,0.340633333333,0.34063333333333345,0,0.0,0.0,0,0.0,22.1114105526,228.08424377441406,0.9916706251061481,11.339416666666665,0.0,0.0,0.0,0.00965645824306,0.00965645824306
8,0.253513333333,0.2535133333333333,0,0.0,0.0,0,0.0,22.1114105526,228.59039306640625,0.9938712742017664,11.339416666666665,0.0,0.0,0.0,0.00718673329306,0.00718673329306
9,0.0748,0.07480000000000005,0,0.0,0.0,0,0.0,22.1114105526,226.9134063720703,0.9865800277046536,12.889416666666667,0.0,0.0,0.0,0.00241032091667,0.00241032091667
10,0.0748,0.07480000000000005,0,0.0,0.0,0,0.0,22.1114105526,227.47146606445312,0.9890063741932744,12.889416666666667,0.0,0.0,0.0,0.00241032091667,0.00241032091667
11,0.237966666667,0.23796666666666663,0,0.0,0.0,0,0.0,22.1114105526,226.28524780273438,0.9838489034901494,14.229416666666665,0.0,0.0,0.0,0.00846531713194,0.00846531713194
12,0.358966666667,0.35896666666666666,0,0.0,0.0,0,0.0,22.1114105526,225.27813720703125,0.9794701617697011,14.229416666666665,0.0,0.0,0.0,0.0127697156736,0.0127697156736
13,0.60016,0.60016,0,0.0,0.0,0,0.0,22.1114105526,224.7646026611328,0.9772374028744905,13.894416666666665,0.0,0.0,0.0,0.0208471827667,0.0208471827667
14,2.77603333333,2.7760333333333325,0,0.0,0.0,0,0.0,22.1114105526,223.0264129638672,0.9696800563646399,13.894416666666665,0.0,0.0,0.0,0.0964284095347,0.0964284095347
15,1.07880666667,1.078806666666667,0,0.0,0.0,0,0.0,22.1114105526,223.94549560546875,0.9736760678498642,15.794416666666665,0.0,0.0,0.0,0.0425978049903,0.0425978049903
16,0.620546666667,0.6205466666666667,0,0.0,0.0,0,0.0,22.1114105526,222.90911865234375,0.9691700810971468,15.794416666666665,0.0,0.0,0.0,0.0245029315361,0.0245029315361
17,2.97234666667,2.972346666666667,0,0.0,0.0,0,0.0,22.1114105526,221.8594970703125,0.9646065090013587,30.084416666666666,0.0,0.0,0.0,0.223553288994,0.223553288994
