slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,batterySOC,batterySOCmin,minVoltageV,minVoltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
1,19.25419797,19.25419797,0,0.0,4.0,0.0,0.688534562595,0.0,226.772262573,0.985966359014,24.5533240689,0.0,0.0,0.0,1.18188640611,1.18188640611
2,20.5027354068,20.5027354068,0,0.0,4.0,0.0,0.688534562595,0.0,226.883026123,0.986447939665,24.9026018547,0.0,0.0,0.0,1.27642864192,1.27642864192
3,17.0441158935,17.0441158935,0,0.0,5.0,0.0,0.688534562595,0.0,227.200592041,0.987828661048,24.1159280566,0.0,0.0,0.0,1.02758668169,1.02758668169
4,16.8424915832,16.8424915832,0,0.0,6.0,0.0,0.688534562595,0.0,226.77293396,0.985969278087,23.4519444378,0.0,0.0,0.0,0.987472942007,0.987472942007
5,18.6631902829,18.6631902829,0,0.0,8.0,0.0,0.688534562595,0.0,225.96270752,0.982446554433,21.5413806726,0.0,0.0,0.0,1.00507721612,1.00507721612
6,20.1823465642,20.1823465642,0,0.0,9.0,0.0,0.688534562595,0.0,225.244140625,0.979322350543,21.7201300579,0.0,0.0,0.0,1.09590798062,1.09590798062
7,29.3607323479,29.3607323479,0,0.0,10.0,0.0,0.688534562595,0.0,222.387023926,0.966900104025,20.2621699941,0.0,0.0,0.0,1.48728037496,1.48728037496
8,23.9178610998,23.9178610998,0,0.0,11.0,0.0,0.688534562595,0.0,224.870620728,0.977698350989,19.5379288696,0.0,0.0,0.0,1.1682636722,1.1682636722
9,21.7991926977,21.7991926977,0,0.0,15.0,0.0,0.688534562595,0.0,225.871994019,0.982052147907,22.2785251284,0.0,0.0,0.0,1.21413465573,1.21413465573
10,20.4857176309,20.4857176309,0,0.0,18.0,0.0,0.688534562595,0.0,227.292510986,0.988228308636,21.68536063,0.0,0.0,0.0,1.11060043648,1.11060043648
11,17.1360320604,17.1360320604,0,0.0,19.0,0.0,0.688534562595,0.0,226.861816406,0.986355723505,20.3205831961,0.0,0.0,0.0,0.870535412833,0.870535412833
12,20.621246476,20.621246476,0,0.0,23.0,0.0,0.688534562595,0.0,227.74798584,0.990208634086,20.3175504441,0.0,0.0,0.0,1.04743303874,1.04743303874
13,20.7863074737,20.7863074737,0,0.0,24.0,0.0,0.688534562595,0.0,227.074127197,0.987278813901,20.6537589299,0.0,0.0,0.0,1.07328845901,1.07328845901
14,23.867472678,23.867472678,0,0.0,29.0,0.0,0.688534562595,0.0,226.746353149,0.985853709345,20.8754176818,0.0,0.0,0.0,1.24560865291,1.24560865291
15,26.7430370058,26.7430370058,0,0.0,31.0,0.0,0.688534562595,0.0,226.092376709,0.983010333517,24.8626693647,0.0,0.0,0.0,1.66225821721,1.66225821721
16,32.8256933626,32.8256933626,0,0.0,33.0,0.0,0.688534562595,0.0,225.069656372,0.978563723357,24.7118049511,0.0,0.0,0.0,2.0279553294,2.0279553294
17,29.5915287772,29.5915287772,0,0.0,39.0,0.0,0.688534562595,0.0,226.098724365,0.983037932023,28.8642315978,0.0,0.0,0.0,2.1353418499,2.1353418499
