slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,energyCharged,batterySOC,voltageV,voltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
1,0.1224,0.12240000000000005,0,0.0,0.0,0,0.0,25.7735570028,229.48194885253906,0.9977476037066916,10.577416666666666,0.0,0.0,0.0,0.0032366895,0.0032366895
2,0.068,0.06800000000000003,0,0.0,0.0,0,0.0,25.7735570028,229.57757568359375,0.9981633725373641,10.577416666666666,0.0,0.0,0.0,0.00179816083333,0.00179816083333
3,0.169933333333,0.1699333333333333,0,0.0,0.0,0,0.0,25.7735570028,229.61915588378906,0.9983441560164742,10.592416666666667,0.0,0.0,0.0,0.00450001168056,0.00450001168056
4,0.305,0.30499999999999994,0,0.0,0.0,0,0.0,25.7735570028,229.7060546875,0.9987219769021739,10.592416666666667,0.0,0.0,0.0,0.00807671770833,0.00807671770833
5,0.2852,0.2852000000000002,0,0.0,0.0,0,0.0,25.7735570028,229.35569763183594,0.9971986853558085,10.592416666666667,0.0,0.0,0.0,0.00755239308333,0.00755239308333
6,0.1224,0.12240000000000005,0,0.0,0.0,0,0.0,25.7735570028,229.90573120117188,0.9995901356572691,10.592416666666667,0.0,0.0,0.0,0.0032412795,0.0032412795
7,0.12,0.12000000000000001,0,0.0,0.0,0,0.0,25.7735570028,229.07154846191406,0.9959632541822351,10.527416666666666,0.0,0.0,0.0,0.003158225,0.003158225
8,0.488066666667,0.48806666666666665,0,0.0,0.0,0,0.0,25.7735570028,227.20352172851562,0.9878413988196332,10.527416666666666,0.0,0.0,0.0,0.0128452029028,0.0128452029028
9,0.608866666667,0.6088666666666666,0,0.0,0.0,0,0.0,25.7735570028,227.96279907226562,0.9911426046620244,10.482416666666667,0.0,0.0,0.0,0.0159559852361,0.0159559852361
10,0.499733333333,0.49973333333333325,0,0.0,0.0,0,0.0,25.7735570028,228.9193115234375,0.9953013544497282,10.482416666666667,0.0,0.0,0.0,0.0130960325556,0.0130960325556
11,0.589333333333,0.5893333333333332,0,0.0,0.0,0,0.0,25.7735570028,228.56509399414062,0.9937612782353941,10.472416666666668,0.0,0.0,0.0,0.0154293605556,0.0154293605556
12,0.587466666667,0.5874666666666666,0,0.0,0.0,0,0.0,25.7735570028,228.58319091796875,0.9938399605129076,10.472416666666668,0.0,0.0,0.0,0.0153804892778,0.0153804892778
13,0.665533333333,0.6655333333333332,0,0.0,0.0,0,0.0,25.7735570028,228.1378936767578,0.991903885551121,10.947416666666665,0.0,0.0,0.0,0.0182146767639,0.0182146767639
14,0.903666666667,0.9036666666666668,0,0.0,0.0,0,0.0,25.7735570028,227.11834716796875,0.9874710746433424,10.947416666666665,0.0,0.0,0.0,0.0247320388194,0.0247320388194
15,0.724666666667,0.7246666666666666,0,0.0,0.0,0,0.0,25.7735570028,228.9683074951172,0.995514380413553,12.712416666666668,0.0,0.0,0.0,0.0230306615278,0.0230306615278
16,0.6636,0.6635999999999999,0,0.0,0.0,0,0.0,25.7735570028,229.5656280517578,0.9981114263119905,12.712416666666668,0.0,0.0,0.0,0.02108989925,0.02108989925
17,0.3942,0.39419999999999994,0,0.0,0.0,0,0.0,25.7735570028,229.992919921875,0.9999692170516304,17.197416666666665,0.0,0.0,0.0,0.016948054125,0.016948054125
18,0.430533333333,0.43053333333333327,0,0.0,0.0,0,0.0,25.7735570028,230.35781860351562,1.0015557330587637,17.197416666666665,0.0,0.0,0.0,0.0185101528056,0.0185101528056
19,0.248,0.24800000000000005,0,0.0,0.0,0,0.0,25.7735570028,229.88479614257812,0.9994991136633832,16.282416666666666,0.0,0.0,0.0,0.0100950983333,0.0100950983333
20,0.068,0.06800000000000003,0,0.0,0.0,0,0.0,25.7735570028,229.1929168701172,0.996490942913553,16.282416666666666,0.0,0.0,0.0,0.00276801083333,0.00276801083333
21,0.359066666667,0.3590666666666666,0,0.0,0.0,0,0.0,25.7735570028,229.3793487548828,0.9973015163255774,16.497416666666666,0.0,0.0,0.0,0.0148091810278,0.0148091810278
22,0.353066666667,0.35306666666666664,0,0.0,0.0,0,0.0,25.7735570028,228.81027221679688,0.9948272705078125,16.497416666666666,0.0,0.0,0.0,0.0145617197778,0.0145617197778
23,0.545533333333,0.5455333333333333,0,0.0,0.0,0,0.0,25.7735570028,229.216796875,0.9965947690217392,15.952416666666668,0.0,0.0,0.0,0.0217564375972,0.0217564375972
24,0.315533333333,0.3155333333333334,0,0.0,0.0,0,0.0,25.7735570028,229.68295288085938,0.998621534264606,15.952416666666668,0.0,0.0,0.0,0.0125837980139,0.0125837980139
25,0.286066666667,0.28606666666666664,0,0.0,0.0,0,0.0,25.7735570028,229.75885009765625,0.9989515221637228,17.84241666666667,0.0,0.0,0.0,0.0127603016528,0.0127603016528
