slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,energyCharged,batterySOC,voltageV,voltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
1,0.125066666667,0.12506666666666663,0,0.0,0.0,0,0.0,0.0,227.29290771484375,0.9882300335427989,17.449583333333333,0.0,0.0,0.0,0.00545590305556,0.00545590305556
2,0.2824,0.28240000000000004,0,0.0,0.0,0,0.0,0.0,228.8765869140625,0.9951155952785327,17.449583333333333,0.0,0.0,0.0,0.0123194058333,0.0123194058333
3,0.0914,0.09139999999999995,0,0.0,0.0,0,0.0,0.0,230.02615356445312,1.0001137111497962,17.12458333333333,0.0,0.0,0.0,0.00391296729167,0.00391296729167
4,0.063,0.06299999999999997,0,0.0,0.0,0,0.0,0.0,229.68849182128906,0.9986456166143003,17.12458333333333,0.0,0.0,0.0,0.002697121875,0.002697121875
5,0.063,0.06299999999999997,0,0.0,0.0,0,0.0,0.0,229.77088928222656,0.9990038664444633,17.16458333333333,0.0,0.0,0.0,0.002703421875,0.002703421875
6,0.263333333333,0.2633333333333333,0,0.0,0.0,0,0.0,0.0,229.3476104736328,0.9971635237984036,17.16458333333333,0.0,0.0,0.0,0.0113000173611,0.0113000173611
7,0.398266666667,0.3982666666666666,0,0.0,0.0,0,0.0,0.0,229.1166229248047,0.9961592301078465,16.77958333333333,0.0,0.0,0.0,0.0167068718056,0.0167068718056
8,0.2272,0.22719999999999999,0,0.0,0.0,0,0.0,0.0,229.45773315429688,0.9976423180621603,16.77958333333333,0.0,0.0,0.0,0.00953080333333,0.00953080333333
9,0.155333333333,0.1553333333333333,0,0.0,0.0,0,0.0,0.0,229.4569854736328,0.9976390672766644,17.494583333333335,0.0,0.0,0.0,0.00679372986111,0.00679372986111
10,0.182,0.18199999999999997,0,0.0,0.0,0,0.0,0.0,229.37802124023438,0.9972957445227582,17.494583333333335,0.0,0.0,0.0,0.00796003541667,0.00796003541667
11,0.395866666667,0.39586666666666664,0,0.0,0.0,0,0.0,0.0,228.6605682373047,0.9941763836404551,18.184583333333332,0.0,0.0,0.0,0.0179966759722,0.0179966759722
12,0.647866666667,0.6478666666666667,0,0.0,0.0,0,0.0,0.0,227.62741088867188,0.9896843951681386,18.184583333333332,0.0,0.0,0.0,0.0294529634722,0.0294529634722
