slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,batterySOC,minVoltageV,minVoltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
1,43.309846209,18.5203333333,0,24.7895128756,4.0,0.0,0.903747584306,224.697845459,0.976947154169,17.680750000000003,1.09574294944,0.0,1.09574294944,0.818633458958,1.9143764084
2,59.7503836198,30.3714,0,29.3789836198,5.0,0.0,0.912846646763,222.654663086,0.968063752548,17.680750000000003,1.29860616159,0.0,1.29860616159,1.34247282638,2.64107898797
3,66.1131325895,35.7224666667,0,30.3906659228,5.0,0.0,0.91622326735,222.87562561,0.969024459175,18.015750000000004,1.368776599,0.0,1.368776599,1.60891757213,2.97769417112
4,50.7340099912,21.9620666667,0,28.7719433246,5.0,0.0,0.919168139274,221.99206543,0.965182893173,18.015750000000004,1.29587034487,0.0,1.29587034487,0.989157756375,2.28502810125
5,49.7270975281,23.9511333333,0,25.7759641948,5.0,0.0,0.923876020163,222.32774353,0.966642363175,17.94575,1.15642252362,0.0,1.15642252362,1.07455262754,2.23097515116
6,45.9762951886,23.3059333333,0,22.6703618552,7.0,0.0,0.906645178875,222.436706543,0.967116115404,17.94575,1.01709161566,0.0,1.01709161566,1.04560613279,2.06269774845
7,52.0285261589,24.425,0,27.6035261589,8.0,0.0,0.913202504767,223.611953735,0.972225885806,17.750750000000004,1.22495822991,0.0,1.22495822991,1.08390517188,2.30886340179
8,49.0327476618,21.7482666667,0,27.2844809951,9.0,0.0,0.920409879982,223.698440552,0.972601915442,17.750750000000004,1.21080000256,0.0,1.21080000256,0.965120111333,2.17592011389
9,47.2693478466,23.4479333333,0,23.8214145133,11.0,0.0,0.912344280812,225.040039063,0.978434952446,23.665750000000003,1.40937910129,0.0,1.40937910129,1.38728232071,2.796661422
10,50.8846103066,22.8652,0,28.0194103066,15.0,0.0,0.905118210417,223.252182007,0.970661660899,23.665750000000003,1.65775089866,0.0,1.65775089866,1.35280526725,3.01055616591
