slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,batterySOC,voltage,elPrice,chCost,regRev,netCost
1,0.5503999999999999,0.5503999999999999,0,0.0,0,0,0,0,17.680750000000003,0.0,0,0
2,0.25966666666666677,0.25966666666666677,0,0.0,0,0,0,0,17.680750000000003,0.0,0,0
3,0.3620666666666667,0.3620666666666667,0,0.0,0,0,0,0,18.015750000000004,0.0,0,0
4,0.12393333333333338,0.12393333333333338,0,0.0,0,0,0,0,18.015750000000004,0.0,0,0
5,0.074,0.074,0,0.0,0,0,0,0,17.94575,0.0,0,0
6,0.12333333333333331,0.12333333333333331,0,0.0,0,0,0,0,17.94575,0.0,0,0
7,0.25899999999999995,0.25899999999999995,0,0.0,0,0,0,0,17.750750000000004,0.0,0,0
8,0.11100000000000003,0.11100000000000003,0,0.0,0,0,0,0,17.750750000000004,0.0,0,0
9,0.074,0.074,0,0.0,0,0,0,0,23.665750000000003,0.0,0,0
10,0.074,0.074,0,0.0,0,0,0,0,23.665750000000003,0.0,0,0
11,0.31666666666666665,0.31666666666666665,0,0.0,0,0,0,0,23.55575,0.0,0,0
12,0.3222,0.3222,0,0.0,0,0,0,0,23.55575,0.0,0,0
13,0.29866666666666675,0.29866666666666675,0,0.0,0,0,0,0,23.61575,0.0,0,0
14,0.5605999999999999,0.5605999999999999,0,0.0,0,0,0,0,23.61575,0.0,0,0
15,0.4822666666666668,0.4822666666666668,0,0.0,0,0,0,0,29.24575,0.0,0,0
16,0.5626666666666665,0.5626666666666665,0,0.0,0,0,0,0,29.24575,0.0,0,0
17,4.3068,0.6068,0,3.7,0,0,0,0,36.91575,15.93516,0,0
18,5.1642,1.4641999999999997,0,3.7,0,0,0,0,36.91575,19.10754,0,0
19,6.414666666666667,2.714666666666667,0,3.7,1,0,0,0,35.43075,23.7342666667,0,0
20,5.0972,1.3971999999999996,0,3.7,1,0,0,0,35.43075,18.85964,0,0
21,4.234933333333334,0.5349333333333335,0,3.7,1,0,0,0,32.42575,15.6692533333,0,0
22,4.206533333333334,0.5065333333333335,0,3.7,1,0,0,0,32.42575,15.5641733333,0,0
23,0.7468133222546693,0.4196,0,0.327213322255,1,0,0,0,28.960750000000004,0.244367268279,0,0
24,0.6834000000000001,0.6834000000000001,0,0.0,1,0,0,0,28.960750000000004,0.0,0,0
25,1.3582,1.3582,0,0.0,1,0,0,0,19.46075,0.0,0,0
26,2.2552666666666665,2.2552666666666665,0,0.0,1,0,0,0,19.46075,0.0,0,0
27,1.8430666666666666,1.8430666666666666,0,0.0,1,0,0,0,18.20575,0.0,0,0
28,0.7624666666666667,0.7624666666666667,0,0.0,1,0,0,0,18.20575,0.0,0,0
29,0.5650666666666666,0.5650666666666666,0,0.0,1,0,0,0,19.46075,0.0,0,0
30,1.1826666666666668,1.1826666666666668,0,0.0,1,0,0,0,19.46075,0.0,0,0
31,0.6951333333333333,0.6951333333333333,0,0.0,1,0,0,0,19.115750000000002,0.0,0,0
32,0.7191333333333334,0.7191333333333334,0,0.0,1,0,0,0,19.115750000000002,0.0,0,0
33,1.0211333333333332,1.0211333333333332,0,0.0,1,0,0,0,18.680750000000003,0.0,0,0
34,0.5258,0.5258,0,0.0,1,0,0,0,18.680750000000003,0.0,0,0
35,0.38793333333333335,0.38793333333333335,0,0.0,1,0,0,0,17.55075,0.0,0,0
36,0.9140666666666665,0.9140666666666665,0,0.0,1,0,0,0,17.55075,0.0,0,0
37,0.6506666666666665,0.6506666666666665,0,0.0,1,0,0,0,17.14575,0.0,0,0
38,0.6137999999999999,0.6137999999999999,0,0.0,1,0,0,0,17.14575,0.0,0,0
39,0.8361333333333332,0.8361333333333332,0,0.0,1,0,0,0,16.89075,0.0,0,0
