slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,energyCharged,batterySOC,voltageV,voltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
1,0.17799999999999996,0.17799999999999996,0,0.0,0.0,0,0.0,0.0,226.65948486328125,0.9854760211447011,17.680750000000003,0.0,0.0,0.0,0.00786793375,0.00786793375
2,0.7612000000000001,0.7612000000000001,0,0.0,0.0,0,0.0,0.0,223.81761169433594,0.9731200508449389,17.680750000000003,0.0,0.0,0.0,0.03364646725,0.03364646725
3,2.233,2.233,0,0.0,0.0,0,0.0,0.0,223.1070098876953,0.9700304777725883,18.015750000000004,0.0,0.0,0.0,0.100572924375,0.100572924375
4,0.5144,0.5144,0,0.0,0.0,0,0.0,0.0,225.6502685546875,0.9810881241508153,18.015750000000004,0.0,0.0,0.0,0.0231682545,0.0231682545
5,0.15386666666666665,0.15386666666666665,0,0.0,0.0,0,0.0,0.0,227.0494384765625,0.9871714716372283,17.94575,0.0,0.0,0.0,0.00690313183333,0.00690313183333
6,0.14699999999999996,0.14699999999999996,0,0.0,0.0,0,0.0,0.0,227.1412353515625,0.9875705884850543,17.94575,0.0,0.0,0.0,0.006595063125,0.006595063125
7,0.7536666666666665,0.7536666666666665,0,0.0,0.0,0,0.0,0.0,227.9769287109375,0.9912040378736413,17.750750000000004,0.0,0.0,0.0,0.0334453714583,0.0334453714583
8,1.4696,1.4696,0,0.0,0.0,0,0.0,0.0,225.8957061767578,0.9821552442467731,17.750750000000004,0.0,0.0,0.0,0.0652162555,0.0652162555
9,0.7938666666666669,0.7938666666666669,0,0.0,0.0,0,0.0,0.0,227.44715881347656,0.9889006904933764,23.665750000000003,0.0,0.0,0.0,0.0469686251667,0.0469686251667
10,0.17240000000000003,0.17240000000000003,0,0.0,0.0,0,0.0,0.0,227.57725524902344,0.9894663271696671,23.665750000000003,0.0,0.0,0.0,0.01019993825,0.01019993825
11,0.2706,0.2706,0,0.0,0.0,0,0.0,0.0,226.20089721679688,0.9834821618121603,23.55575,0.0,0.0,0.0,0.015935464875,0.015935464875
12,0.06499999999999997,0.06499999999999997,0,0.0,0.0,0,0.0,0.0,225.2340850830078,0.9792786307956861,23.55575,0.0,0.0,0.0,0.003827809375,0.003827809375
13,0.06499999999999997,0.06499999999999997,0,0.0,0.0,0,0.0,0.0,225.23709106445312,0.9792917002802309,23.61575,0.0,0.0,0.0,0.003837559375,0.003837559375
14,0.06499999999999997,0.06499999999999997,0,0.0,0.0,0,0.0,0.0,223.58018493652344,0.9720877605935802,23.61575,0.0,0.0,0.0,0.003837559375,0.003837559375
15,0.06499999999999997,0.06499999999999997,0,0.0,0.0,0,0.0,0.0,222.0358123779297,0.9653730972953465,29.24575,0.0,0.0,0.0,0.004752434375,0.004752434375
16,0.3885333333333333,0.3885333333333333,0,0.0,0.0,0,0.0,0.0,220.4499053955078,0.9584778495456862,29.24575,0.0,0.0,0.0,0.0284073718333,0.0284073718333
17,0.37833333333333324,0.37833333333333324,0,0.0,0.0,0,0.0,0.0,220.79164123535156,0.9599636575450068,36.91575,0.0,0.0,0.0,0.034916146875,0.034916146875
18,0.3056666666666667,0.3056666666666667,0,0.0,0.0,0,0.0,0.0,219.60682678222656,0.9548122903575068,36.91575,0.0,0.0,0.0,0.028209785625,0.028209785625
19,0.3072666666666667,0.3072666666666667,0,0.0,0.0,0,0.0,0.0,221.94285583496094,0.9649689384128737,35.43075,0.0,0.0,0.0,0.027216721125,0.027216721125
20,3.972666666666667,0.27266666666666667,0,3.7,1.0,0,0.86025,28.0074861684,223.50119018554688,0.9717443051545517,35.43075,0.3277344375,0.0,0.3277344375,0.02415196125,0.35188639875
21,4.0316,0.3316,0,3.7,1.0,0,0.86025,28.8677361684,224.06910705566406,0.9742135089376699,32.42575,0.2999381875,0.0,0.2999381875,0.02688094675,0.32681913425
22,4.099333333333333,0.39933333333333326,0,3.7,1.0,0,0.86025,29.7279861684,222.1749725341797,0.9659781414529551,32.42575,0.2999381875,0.0,0.2999381875,0.0323717070833,0.332309894583
23,1.5607519637497123,0.3907999999999999,0,1.1699519637497124,1.0,0,0.272013831572,30.0,225.3037109375,0.9795813519021739,28.960750000000004,0.0847067158354,0.0,0.0847067158354,0.02829465275,0.113001368585
24,0.6096666666666668,0.6096666666666668,0,0.0,1.0,0,0.0,30.0,224.8961639404297,0.9778094084366508,28.960750000000004,0.0,0.0,0.0,0.0441410097917,0.0441410097917
25,0.4900666666666667,0.4900666666666667,0,0.0,1.0,0,0.0,30.0,225.261962890625,0.9793998386548913,19.46075,0.0,0.0,0.0,0.0238426622083,0.0238426622083
26,0.5711333333333334,0.5711333333333334,0,0.0,1.0,0,0.0,30.0,225.14410400390625,0.9788874087126359,19.46075,0.0,0.0,0.0,0.0277867075417,0.0277867075417
27,0.8305333333333332,0.8305333333333332,0,0.0,1.0,0,0.0,30.0,224.8479766845703,0.9775998986285666,18.20575,0.0,0.0,0.0,0.0378012055833,0.0378012055833
28,0.5913999999999999,0.5913999999999999,0,0.0,1.0,0,0.0,30.0,223.1456756591797,0.9701985898225204,18.20575,0.0,0.0,0.0,0.026917201375,0.026917201375
29,0.7509999999999997,0.7509999999999997,0,0.0,1.0,0,0.0,30.0,224.6443634033203,0.976714623492697,19.46075,0.0,0.0,0.0,0.036537558125,0.036537558125
30,1.071066666666667,1.071066666666667,0,0.0,1.0,0,0.0,30.0,224.22499084472656,0.9748912645422894,19.46075,0.0,0.0,0.0,0.0521094015833,0.0521094015833
31,0.8291999999999999,0.8291999999999999,0,0.0,1.0,0,0.0,30.0,227.8017578125,0.9904424252717391,19.115750000000002,0.0,0.0,0.0,0.03962694975,0.03962694975
32,0.1331333333333333,0.1331333333333333,0,0.0,1.0,0,0.0,30.0,227.21315002441406,0.9878832609757133,19.115750000000002,0.0,0.0,0.0,0.00636235879167,0.00636235879167
33,0.06499999999999997,0.06499999999999997,0,0.0,1.0,0,0.0,30.0,227.55873107910156,0.9893857873004416,18.680750000000003,0.0,0.0,0.0,0.003035621875,0.003035621875
34,0.06499999999999997,0.06499999999999997,0,0.0,1.0,0,0.0,30.0,228.052734375,0.9915336277173913,18.680750000000003,0.0,0.0,0.0,0.003035621875,0.003035621875
35,0.06499999999999997,0.06499999999999997,0,0.0,1.0,0,0.0,30.0,228.9021759033203,0.9952268517535666,17.55075,0.0,0.0,0.0,0.002851996875,0.002851996875
36,0.06499999999999997,0.06499999999999997,0,0.0,1.0,0,0.0,30.0,228.0662384033203,0.9915923408840014,17.55075,0.0,0.0,0.0,0.002851996875,0.002851996875
37,0.06499999999999997,0.06499999999999997,0,0.0,1.0,0,0.0,30.0,228.06185913085938,0.9915733005689538,17.14575,0.0,0.0,0.0,0.002786184375,0.002786184375
38,0.06499999999999997,0.06499999999999997,0,0.0,1.0,0,0.0,30.0,228.0651397705078,0.9915875642195991,17.14575,0.0,0.0,0.0,0.002786184375,0.002786184375
