slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,energyCharged,batterySOC,voltage,elPrice,chCost,regRev,netChCost,resCost,totalCost
1,0.2690000000000001,0.2690000000000001,0,0.0,0,0,0.0,0.0,237.5397491455078,17.680750000000003,0.0,0,0.0,0.011890304375000004,0.011890304375000004
2,0.15859999999999996,0.15859999999999996,0,0.0,0,0,0.0,0.0,237.8380126953125,17.680750000000003,0.0,0,0.0,0.0070104173749999995,0.0070104173749999995
3,0.06200000000000003,0.06200000000000003,0,0.0,0,0,0.0,0.0,236.3948516845703,18.015750000000004,0.0,0,0.0,0.0027924412500000017,0.0027924412500000017
4,0.06200000000000003,0.06200000000000003,0,0.0,0,0,0.0,0.0,239.02992248535156,18.015750000000004,0.0,0,0.0,0.0027924412500000017,0.0027924412500000017
5,0.06200000000000003,0.06200000000000003,0,0.0,0,0,0.0,0.0,238.66644287109375,17.94575,0.0,0,0.0,0.002781591250000001,0.002781591250000001
6,0.13100000000000003,0.13100000000000003,0,0.0,0,0,0.0,0.0,238.20899963378906,17.94575,0.0,0,0.0,0.0058772331250000025,0.0058772331250000025
7,0.2690000000000001,0.2690000000000001,0,0.0,0,0,0.0,0.0,238.9286651611328,17.750750000000004,0.0,0,0.0,0.011937379375000006,0.011937379375000006
8,0.08960000000000005,0.08960000000000005,0,0.0,0,0,0.0,0.0,239.46511840820312,17.750750000000004,0.0,0,0.0,0.003976168000000003,0.003976168000000003
9,0.06200000000000003,0.06200000000000003,0,0.0,0,0,0.0,0.0,236.9059600830078,23.665750000000003,0.0,0,0.0,0.003668191250000002,0.003668191250000002
10,0.06200000000000003,0.06200000000000003,0,0.0,0,0,0.0,0.0,238.13685607910156,23.665750000000003,0.0,0,0.0,0.003668191250000002,0.003668191250000002
11,0.06200000000000003,0.06200000000000003,0,0.0,0,0,0.0,0.0,240.5537872314453,23.55575,0.0,0,0.0,0.0036511412500000017,0.0036511412500000017
12,0.06200000000000003,0.06200000000000003,0,0.0,0,0,0.0,0.0,239.2046356201172,23.55575,0.0,0,0.0,0.0036511412500000017,0.0036511412500000017
13,3.762,0.06200000000000003,0,3.7,1,0,0.8602500000000001,27.9558998381,239.07037353515625,23.61575,0.2184456875,0,0.2184456875,0.0036604412500000016,0.22210612875000002
14,3.762,0.06200000000000003,0,3.7,1,0,0.8602500000000001,28.8161498381,238.82809448242188,23.61575,0.2184456875,0,0.2184456875,0.0036604412500000016,0.22210612875000002
15,3.8586,0.15860000000000002,0,3.7,1,0,0.8602500000000001,29.6763998381,239.53085327148438,29.24575,0.27052318750000004,0,0.27052318750000004,0.011595939875,0.28211912737500006
16,1.6608286534389671,0.2690000000000001,0,1.391828653438967,1,0,0.32360016192455987,30.0,238.01295471191406,29.24575,0.10176268210328168,0,0.10176268210328168,0.019667766875000006,0.12143044897828169
17,0.07586666666666668,0.07586666666666668,0,0.0,1,0,0.0,30.0,239.5281524658203,36.91575,0.0,0,0.0,0.007001687250000002,0.007001687250000002
18,0.5021999999999999,0.5021999999999999,0,0.0,1,0,0.0,30.0,237.264404296875,36.91575,0.0,0,0.0,0.046347724124999996,0.046347724124999996
19,0.2796,0.2796,0,0.0,1,0,0.0,30.0,237.92750549316406,35.43075,0.0,0,0.0,0.024766094250000002,0.024766094250000002
20,0.5326666666666665,0.5326666666666665,0,0.0,1,0,0.0,30.0,236.36181640625,35.43075,0.0,0,0.0,0.047181948749999994,0.047181948749999994
21,0.494,0.494,0,0.0,1,0,0.0,30.0,237.3781280517578,32.42575,0.0,0,0.0,0.040045801250000006,0.040045801250000006
22,0.4363333333333333,0.4363333333333333,0,0.0,1,0,0.0,30.0,238.297119140625,32.42575,0.0,0,0.0,0.03537108895833333,0.03537108895833333
23,0.5198666666666667,0.5198666666666667,0,0.0,1,0,0.0,30.0,237.7835235595703,28.960750000000004,0.0,0,0.0,0.03763932141666668,0.03763932141666668
24,0.41473333333333323,0.41473333333333323,0,0.0,1,0,0.0,30.0,236.83358764648438,28.960750000000004,0.0,0,0.0,0.03002747095833333,0.03002747095833333
25,0.36466666666666664,0.36466666666666664,0,0.0,1,0,0.0,30.0,237.5719451904297,19.46075,0.0,0,0.0,0.017741717083333334,0.017741717083333334
26,0.4462000000000001,0.4462000000000001,0,0.0,1,0,0.0,30.0,235.7187042236328,19.46075,0.0,0,0.0,0.021708466625000006,0.021708466625000006
27,0.41166666666666657,0.41166666666666657,0,0.0,1,0,0.0,30.0,234.9795379638672,18.20575,0.0,0,0.0,0.018736751041666663,0.018736751041666663
28,0.4034666666666666,0.4034666666666666,0,0.0,1,0,0.0,30.0,236.98974609375,18.20575,0.0,0,0.0,0.01836353316666666,0.01836353316666666
29,0.3090666666666666,0.3090666666666666,0,0.0,1,0,0.0,30.0,236.92767333984375,19.46075,0.0,0,0.0,0.01503667283333333,0.01503667283333333
30,0.42660000000000003,0.42660000000000003,0,0.0,1,0,0.0,30.0,236.84674072265625,19.46075,0.0,0,0.0,0.020754889875000005,0.020754889875000005
31,0.7342,0.7342,0,0.0,1,0,0.0,30.0,232.8942108154297,19.115750000000002,0.0,0,0.0,0.035086959125000004,0.035086959125000004
32,0.5848000000000001,0.5848000000000001,0,0.0,1,0,0.0,30.0,234.0613555908203,19.115750000000002,0.0,0,0.0,0.027947226500000005,0.027947226500000005
33,0.8363999999999997,0.8363999999999997,0,0.0,1,0,0.0,30.0,236.0296173095703,18.680750000000003,0.0,0,0.0,0.03906144824999999,0.03906144824999999
34,0.5038000000000001,0.5038000000000001,0,0.0,1,0,0.0,30.0,238.20425415039062,18.680750000000003,0.0,0,0.0,0.02352840462500001,0.02352840462500001
35,0.37273333333333336,0.37273333333333336,0,0.0,1,0,0.0,30.0,237.78775024414062,17.55075,0.0,0,0.0,0.016354373875,0.016354373875
36,0.8646,0.8646,0,0.0,1,0,0.0,30.0,238.6956024169922,17.55075,0.0,0,0.0,0.037935946125,0.037935946125
37,0.7966,0.7966,0,0.0,1,0,0.0,30.0,238.63613891601562,17.14575,0.0,0,0.0,0.034145761125,0.034145761125
38,2.5101333333333327,2.5101333333333327,0,0.0,1,0,0.0,30.0,237.17919921875,17.14575,0.0,0,0.0,0.10759529649999998,0.10759529649999998
39,0.3466666666666666,0.3466666666666666,0,0.0,1,0,0.0,30.0,238.49461364746094,16.89075,0.0,0,0.0,0.01463865,0.01463865
40,0.29126666666666673,0.29126666666666673,0,0.0,1,0,0.0,30.0,237.08660888671875,16.89075,0.0,0,0.0,0.012299281125000004,0.012299281125000004
