hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 230.551, -30.1821, 230.796, -150.053, 230.875, 89.9372, 80.1813, 133.76, 19.2153, 13.2885, 22.7174, -105.943
0, 1800.00000, 230.691, -30.118, 230.81, -150.056, 230.846, 89.9384, 51.0372, 133.735, 21.6803, 13.4926, 23.8582, -106.089
0, 2700.00000, 230.639, -30.1411, 230.816, -150.048, 230.876, 89.946, 61.8922, 133.759, 17.8217, 13.394, 19.9075, -106.013
1, 0.00000, 230.705, -30.1097, 230.815, -150.058, 230.808, 89.9233, 46.9999, 133.68, 22.4828, 13.5778, 30.9082, -106.126
1, 900.00000, 230.675, -30.1299, 230.734, -150.095, 230.775, 89.9093, 54.8766, 133.736, 38.7472, 13.5745, 36.124, -106.223
1, 1800.00000, 230.634, -30.1636, 230.609, -150.142, 230.827, 89.9332, 69.2626, 133.898, 59.9254, 13.467, 23.6164, -106.371
1, 2700.00000, 230.729, -30.125, 230.58, -150.159, 230.833, 89.9471, 51.5602, 133.917, 68.618, 13.6379, 18.0573, -106.604
2, 0.00000, 230.713, -30.1187, 230.713, -150.098, 230.848, 89.9463, 50.3261, 133.851, 41.2558, 13.5527, 19.5714, -106.329
2, 900.00000, 230.669, -30.1412, 230.687, -150.107, 230.855, 89.9457, 60.2286, 133.915, 44.7369, 13.4493, 19.1218, -106.284
2, 1800.00000, 230.701, -30.1179, 230.74, -150.093, 230.785, 89.9161, 49.6411, 133.719, 37.9324, 13.6065, 33.3929, -106.242
2, 2700.00000, 230.605, -30.1733, 230.641, -150.125, 230.841, 89.9343, 74.1294, 133.874, 52.3655, 13.4012, 23.0646, -106.142
3, 0.00000, 230.641, -30.1539, 230.691, -150.102, 230.874, 89.9507, 66.2433, 133.886, 42.3898, 13.4102, 16.5405, -106.127
3, 900.00000, 230.692, -30.1263, 230.698, -150.111, 230.785, 89.9171, 52.9952, 133.762, 45.9025, 13.5551, 32.3971, -106.229
3, 1800.00000, 230.644, -30.1464, 230.681, -150.123, 230.718, 89.8834, 61.1963, 133.704, 50.2208, 13.5662, 46.9286, -106.197
3, 2700.00000, 230.702, -30.1087, 230.772, -150.092, 230.664, 89.862, 44.6582, 133.508, 36.2469, 13.7563, 58.1666, -106.21
4, 0.00000, 230.46, -30.2182, 230.726, -150.101, 230.664, 89.8378, 93.7007, 133.512, 38.1054, 13.4641, 65.8854, -105.953
4, 900.00000, 230.466, -30.2257, 230.65, -150.13, 230.702, 89.8588, 96.6194, 133.62, 51.6561, 13.4662, 55.7743, -106.039
4, 1800.00000, 230.634, -30.146, 230.738, -150.094, 230.757, 89.8971, 62.0913, 133.633, 37.4474, 13.6012, 41.2175, -106.184
4, 2700.00000, 230.7, -30.1285, 230.65, -150.13, 230.797, 89.9254, 53.5775, 133.822, 55.1075, 13.581, 28.2561, -106.361
5, 0.00000, 230.708, -30.1277, 230.623, -150.144, 230.785, 89.9218, 52.788, 133.844, 61.175, 13.5826, 29.6803, -106.384
5, 900.00000, 230.654, -30.151, 230.622, -150.143, 230.773, 89.9111, 63.1535, 133.84, 60.1137, 13.5302, 33.9491, -106.345
5, 1800.00000, 230.683, -30.1392, 230.593, -150.162, 230.724, 89.8944, 57.045, 133.84, 68.4929, 13.6302, 41.5403, -106.439
5, 2700.00000, 230.713, -30.1246, 230.601, -150.161, 230.716, 89.8938, 50.4578, 133.791, 68.0286, 13.6492, 42.2376, -106.414
6, 0.00000, 230.64, -30.1563, 230.639, -150.132, 230.797, 89.9195, 65.9756, 133.862, 55.389, 13.4694, 30.1651, -106.296
6, 900.00000, 230.722, -30.1169, 230.642, -150.142, 230.727, 89.8977, 47.5346, 133.773, 59.9149, 13.6816, 40.9633, -106.419
6, 1800.00000, 230.392, -30.2565, 230.651, -150.131, 230.653, 89.8285, 109.945, 133.645, 50.8748, 13.2641, 68.5977, -105.916
6, 2700.00000, 230.292, -30.3048, 230.592, -150.156, 230.607, 89.8001, 130.566, 133.704, 60.8113, 13.1284, 79.7517, -105.898
7, 0.00000, 230.499, -30.199, 230.693, -150.131, 230.529, 89.7841, 83.2797, 133.476, 50.5307, 13.5717, 90.2647, -106.07
7, 900.00000, 230.581, -30.1742, 230.674, -150.124, 230.709, 89.8729, 73.587, 133.696, 50.1059, 13.4913, 50.9218, -106.129
7, 1800.00000, 230.695, -30.1222, 230.685, -150.127, 230.689, 89.8762, 50.0593, 133.634, 52.1892, 13.6769, 50.8057, -106.253
7, 2700.00000, 230.524, -30.202, 230.686, -150.107, 230.794, 89.9033, 87.1154, 133.806, 42.8299, 13.3075, 36.6574, -106.032
8, 0.00000, 230.657, -30.1438, 230.653, -150.135, 230.718, 89.8862, 59.7163, 133.75, 55.9992, 13.5814, 45.5375, -106.284
8, 900.00000, 230.717, -30.1136, 230.681, -150.128, 230.703, 89.8849, 46.2493, 133.709, 53.0216, 13.712, 47.1076, -106.363
8, 1800.00000, 230.697, -30.1254, 230.67, -150.127, 230.747, 89.9023, 51.9124, 133.737, 52.9387, 13.6224, 38.8675, -106.314
8, 2700.00000, 230.658, -30.1379, 230.694, -150.119, 230.707, 89.8794, 57.4214, 133.655, 48.523, 13.6136, 49.032, -106.211
9, 0.00000, 230.686, -30.1192, 230.753, -150.096, 230.694, 89.8741, 49.4932, 133.571, 38.3907, 13.6869, 52.2915, -106.191
9, 900.00000, 230.686, -30.1226, 230.749, -150.091, 230.754, 89.9008, 51.5725, 133.698, 36.8027, 13.5977, 40.2164, -106.203
9, 1800.00000, 230.659, -30.1386, 230.708, -150.107, 230.757, 89.9007, 58.3948, 133.72, 43.8862, 13.559, 39.5547, -106.197
9, 2700.00000, 230.727, -30.1064, 230.724, -150.106, 230.736, 89.8982, 43.7683, 133.692, 43.6193, 13.6753, 41.6062, -106.295
10, 0.00000, 230.777, -30.0867, 230.702, -150.119, 230.725, 89.8997, 34.4956, 133.739, 49.9017, 13.7617, 41.2608, -106.411
10, 900.00000, 230.775, -30.0794, 230.779, -150.084, 230.732, 89.8992, 32.1388, 133.635, 34.3389, 13.7476, 42.2121, -106.277
10, 1800.00000, 230.799, -30.0636, 230.851, -150.049, 230.782, 89.9203, 26.229, 133.625, 19.1683, 13.731, 33.679, -106.227
10, 2700.00000, 230.753, -30.087, 230.862, -150.032, 230.885, 89.9598, 38.0044, 133.745, 11.9178, 13.5217, 15.3911, -106.108
11, 0.00000, 230.783, -30.075, 230.847, -150.041, 230.873, 89.9587, 32.2969, 133.747, 16.1867, 13.5866, 16.0404, -106.187
11, 900.00000, 230.261, -30.3179, 230.796, -150.027, 231.009, 89.9655, 142.574, 133.965, 6.01917, 12.5873, 6.75988, -105.476
