Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    6.78988,   166.00,    5.63815,    43.89,    6.09843,   -65.54,          0,     0.00, 2.54211E-013,   153.43,    6.78988,   -14.00,    5.63815,  -136.11,    6.09843,   114.46,          0,     0.00, 2.54211E-013,   -26.57
Line.LINE1,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE2,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE3,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE4,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE5,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE6,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE7,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE8,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE9,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
